1 0 1 9 51 18 1 0 2 1
2 7 0 48 0 9 0 1 1 1
1 0 7 15 49 28 6 3 3 1
4 14 14 54 169 59 17 29 44 0
4 4 7 22 61 30 15 10 26 0
8 9 26 66 169 65 30 27 62 0
3 4 6 17 71 25 10 17 17 0
3 13 20 50 159 71 25 29 44 0
4 11 9 33 66 48 23 19 34 0
6 21 14 58 126 71 31 35 55 0
5 12 11 28 101 39 23 20 34 0
3 1 3 30 89 47 6 9 23 0
1 0 0 11 0 30 0 12 5 1
2 3 4 18 66 28 16 7 10 0
4 10 16 48 116 50 19 19 31 0
8 8 16 46 116 74 28 18 40 0
3 4 2 9 27 10 4 1 3 1
7 6 12 69 157 62 26 23 33 0
2 9 20 49 105 48 20 25 38 0
2 7 6 45 88 54 20 13 29 0
18 36 47 100 184 124 81 69 115 1
5 9 5 28 51 32 8 13 36 0
3 8 6 21 72 31 14 19 26 0
1 10 31 17 0 5 2 1 4 1
5 4 9 31 53 37 14 7 20 1
2 6 7 28 42 35 21 10 21 1
5 10 15 24 66 22 15 20 36 1
2 16 0 68 37 0 14 4 2 1
2 5 10 55 21 7 9 7 3 0
18 18 29 65 68 56 34 41 73 1
25 33 39 49 104 69 42 43 105 0
8 15 20 34 66 44 22 32 60 0
18 28 40 72 126 83 60 41 102 0
4 9 14 51 97 48 14 11 27 0
20 22 32 73 133 81 44 45 84 0
8 12 13 47 84 60 29 19 49 0
26 22 23 67 89 80 57 35 88 0
5 5 7 38 81 29 21 15 41 0
15 12 26 73 139 76 35 30 94 0
